base directory = /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/*
/var/spool/slurmd/job6338471/slurm_script: line 23: ((: /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC: syntax error: operand expected (error token is "/storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC")
Root Directory Name: mESC 
mkdir: cannot create directory ‘/storage/htc/bdm/tosin/GSDB/Structures/TE1402WS/mESC’: File exists
Directory created successfully: 
Nest Directory Path: /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC/Yaffe_Tanay 
Nest directory Name:  Yaffe_Tanay
mkdir: cannot create directory ‘/storage/htc/bdm/tosin/GSDB/Structures/TE1402WS/mESC/Yaffe_Tanay’: File exists
Directory created successfully........
/var/spool/slurmd/job6338471/slurm_script: line 58: /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC/Yaffe_Tanay/mESC_chrom_sequence_length.txt: No such file or directory
Length: 
Chromosome Directory Name: /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC/Yaffe_Tanay/chr*_miniMDS.bed

Construct Chromosome Structure

Running job for /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC/Yaffe_Tanay/chr10_miniMDS.bed... 

Scanning /storage/htc/bdm/tosin/GSDB/Data/TE1402WS/mESC/Yaffe_Tanay/chr10_miniMDS.bed
Identifying loci 1% complete
Identifying loci 2% complete
Identifying loci 3% complete
Identifying loci 4% complete
Identifying loci 5% complete
Identifying loci 6% complete
Identifying loci 7% complete
Identifying loci 8% complete
Identifying loci 9% complete
Identifying loci 10% complete
Identifying loci 11% complete
Identifying loci 12% complete
Identifying loci 13% complete
Identifying loci 14% complete
Identifying loci 15% complete
Identifying loci 16% complete
Identifying loci 17% complete
Identifying loci 18% complete
Identifying loci 19% complete
Identifying loci 20% complete
Identifying loci 21% complete
Identifying loci 22% complete
Identifying loci 23% complete
Identifying loci 24% complete
Identifying loci 25% complete
Identifying loci 26% complete
Identifying loci 27% complete
Identifying loci 28% complete
Identifying loci 29% complete
Identifying loci 30% complete
Identifying loci 31% complete
Identifying loci 32% complete
Identifying loci 33% complete
Identifying loci 34% complete
Identifying loci 35% complete
Identifying loci 36% complete
Identifying loci 37% complete
